date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
199402,0.212,-2.5445,2.6566,-0.4777,2.6552,1.6046,-0.3
199403,0.2469,-4.7557,-0.9444,0.9631,0.2169,1.2552,-1.27
199404,0.2711,0.6802,-0.8153,1.284,1.5378,1.5313,0.39
199405,0.315,0.5799,-1.9768,0.5332,-0.7439,1.2084,-2.19
199406,0.3118,-3.0381,-0.8432,0.8985,0.1797,1.3259,-0.87
199407,0.2751,2.8162,-1.4321,0.4259,0.7148,-0.1256,0.1
199408,0.3687,4.0149,2.0904,-0.6915,2.061,2.6728,1.55
199409,0.3659,-2.2847,2.2081,0.5879,1.0911,0.894,1.31
199410,0.384,1.3464,-1.82,0.1615,0.3556,2.476,1.49
199411,0.3691,-4.0277,0.5354,-1.0043,1.3703,1.4395,-0.18
199412,0.443,0.8589,1.1739,1.2933,3.9844,3.6683,3.48
199501,0.4156,1.7978,-2.4308,-0.0027,-0.063,1.1994,-1.81
199502,0.3983,3.6324,-0.6967,-0.8486,0.5097,1.2134,-0.39
199503,0.4134,2.2365,-1.2146,0.1684,1.2655,0.7729,0.43
199504,0.445,2.1075,-0.0076,0.0068,0.142,3.4525,1.79
199505,0.5355,2.8944,-2.2038,0.8586,-1.0066,1.4665,-0.42
199506,0.4714,2.7154,3.2191,-1.7466,2.1275,1.8057,2.93
199507,0.4522,3.7124,1.7624,-2.5443,0.9451,0.3082,2.57
199508,0.4637,0.552,2.3542,2.1996,0.1377,1.2945,0.16
199509,0.4309,3.3514,-0.7905,1.9328,1.3917,3.123,2.9
199510,0.4714,-1.5134,-5.0247,0.7822,2.7798,4.4585,4.16
199511,0.4108,3.9629,-0.7575,1.1262,-0.2398,-1.2686,-0.68
199512,0.4882,1.0392,0.6315,3.1163,0.2794,0.4029,2.52
199601,0.4278,2.2598,-2.6865,2.451,-1.5087,1.4014,0.54
199602,0.3908,1.3296,2.7354,-0.9876,3.1394,0.7299,0.59
199603,0.3943,0.7287,1.873,-0.6897,0.2756,-1.3198,-1.84
199604,0.4579,2.0648,5.1852,-1.8073,2.8673,1.1692,-0.88
199605,0.3982,2.3872,4.4631,1.0265,1.864,-1.4412,1.54
199606,0.4,-1.134,-4.2992,1.7381,0.866,1.7042,0.98
199607,0.4497,-5.9558,-3.3587,2.0165,2.415,2.9389,-0.17
199608,0.4122,2.7697,2.4811,-1.8529,0.1305,-1.3885,0.01
