date,Mom   
19900418,0.07
19900419,-0.21
19900420,0.04
19900423,0.3
19900424,0.06
19900425,0.05
19900426,0.32
19900427,0.11
19900430,0.37
19900501,0.31
19900502,0.53
19900503,0.11
19900504,0.07
19900507,0.27
19900508,0.22
19900509,0.33
19900510,0.11
19900511,-0.2
19900514,0.19
19900515,0.15
19900516,0.54
19900517,0.37
19900518,-0.17
19900521,0.02
19900522,0.36
19900523,0.07
19900524,-0.36
19900525,-0.29
19900529,0.15
19900530,0.1
19900531,0.03
19900601,-0.19
19900604,-0.47
19900605,-0.73
19900606,-0.73
19900607,-0.22
19900608,-0.11
19900611,0.41
19900612,0.69
19900613,0.81
19900614,0.24
19900615,0.78
19900618,-0.23
19900619,0.04
19900620,0.31
19900621,0.54
19900622,0.09
19900625,0.26
19900626,0.22
19900627,0.56
19900628,0.8
